age_group,variable_name,description,original_options,data_set_encoding,section,direction_decision,treatment_suggestion
0-3岁婴幼儿期(代答),pid,个人编码,系统生成,系统生成,,special,个人ID，不用于分析
0-3岁婴幼儿期(代答),AGE,年龄,0–120,0–120,G 部分：亲子互动,special,年龄变量，需根据年龄段特殊处理
0-3岁婴幼儿期(代答),GENDER,性别,1=男，5=女,"1=男, 0=女",,reverse,
0-3岁婴幼儿期(代答),WA101,出生时的体重（斤）,1.0–20.0斤,1.0–20.0斤,A 部分：基本情况,u_shape,"三分类法: <2.5kg(低出生体重=风险), 2.5-4.0kg(正常=保护), >4.0kg(高出生体重=风险)"
0-3岁婴幼儿期(代答),WA102,孩子胎龄（月）,5.0–12.0月,5.0–12.0月,A 部分：基本情况,u_shape,"三分类法: <37周(早产=风险), 37-42周(正常=保护), >42周(过期产=风险)"
0-3岁婴幼儿期(代答),WA103,现在体重（斤）,1.0–300.0斤,1.0–300.0斤,C 部分：健康,u_shape,"婴幼儿体重：需要计算年龄别体重Z评分(WAZ)。建议：<-2SD(严重消瘦=高风险), -2SD~-1SD(消瘦=中等风险), -1SD~+1SD(正常=保护), >+1SD(超重=中等风险), >+2SD(肥胖=高风险)。需要结合年龄和性别计算"
0-3岁婴幼儿期(代答),WA104,现在身高（厘米）,30–230厘米,30–230厘米,C 部分：健康,u_shape,"婴幼儿身高：需要计算身长/身高别年龄Z评分(HAZ)。建议：<-2SD(发育迟缓=高风险), -2SD~-1SD(生长迟缓风险), ≥-1SD(正常=保护)。需要结合年龄和性别计算"
0-3岁婴幼儿期(代答),WA105A,现在是否吃母乳,1.是 5.否,"1=是, 0=否",B 部分：日常生活,reverse,
0-3岁婴幼儿期(代答),WA105B,吃母乳月数（月）,0.0–72.0月,0.0–72.0月,B 部分：日常生活,reverse,
0-3岁婴幼儿期(代答),WA106,孩子在哪出生,1.医院 5.家里 77.其他场所（请注明）,"1.医院,5.家里,77.其他场所（请注明）",A 部分：基本情况,keep,
0-3岁婴幼儿期(代答),WA301,现在的户口状况,1.农业户口 3.非农户口 5.没有户口 7.居民户口 79.不适用,"1.农业户口,3.非农户口,5.没有户口,7.居民户口,79.不适用",A 部分：基本情况,categorical,多分类变量：户口状况。心理学权重编码(居民户口=保护，没有户口=高风险)，创建虚拟变量组
0-3岁婴幼儿期(代答),WB202,白天由谁照管,1.托儿所/幼儿园/学前班 2.孩子的爷爷/奶奶 3.孩子的外公/外婆 4.孩子的爸爸 5.孩子的妈妈 6.保姆 7.自己照顾自己 77.其他（请注明）,"1.托儿所/幼儿园/学前班,2.孩子的爷爷/奶奶,3.孩子的外公/外婆,4.孩子的爸爸,5.孩子的妈妈,6.保姆,7.自己照顾自己,77.其他（请注明）",B 部分：日常生活,u_shape,U形编码(父母照管=保护，托儿所/自管=风险)，创建'安全照管'指标
0-3岁婴幼儿期(代答),WB203,晚上由谁照管,1.托儿所/幼儿园/学前班 2.孩子的爷爷/奶奶 3.孩子的外公/外婆 4.孩子的爸爸 5.孩子的妈妈 6.保姆 7.自己照顾自己 77.其他（请注明）,"1.托儿所/幼儿园/学前班,2.孩子的爷爷/奶奶,3.孩子的外公/外婆,4.孩子的爸爸,5.孩子的妈妈,6.保姆,7.自己照顾自己,77.其他（请注明）",B 部分：日常生活,u_shape,U形编码(父母照管=保护，其他=风险)，创建'夜间安全感'指标
0-3岁婴幼儿期(代答),WB401,与父亲同住多久（月）,"-7,0–12月（-7=不适用）","-7,0–12月（-7=不适用）",B 部分：日常生活,reverse,
